Stock Name,Current Price,Previous Close,Open,Bid,Ask,Day Range,52 Week Range,Volume,Avg. Volume
"Amazon.com, Inc. (AMZN)","3,349.81","3,312.75","3,309.00","3,363.52 x 900","3,366.13 x 1000","3,297.52 - 3,367.77","2,881.00 - 3,773.08","1,921,203","2,951,792"
Alphabet Inc. (GOOGL),"2,903.50","2,908.65","2,918.01","2,906.86 x 800","2,909.29 x 2200","2,891.82 - 2,920.05","1,694.00 - 2,973.00","752,012","1,409,086"
Microsoft Corporation (MSFT),333.05,333.13,333.90,333.33 x 1200,333.38 x 1100,330.65 - 334.01,208.16 - 334.01,"11,328,122","23,044,572"
